PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3006 (control)
#1 (26/06/19, 11:20:22)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	NA	NA	Miss	33.70398104190826	beep-01a	
2	0.000000	NA	NA	Miss	NA	beep-01a	
5	0.000000	Right Button	NA	Hit	NA	beep-01a	
9	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
10	0.000000	NA	NA	Miss	NA	beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.055	0	az = 0.07	
azimuth	0.01089142	0.001770876	az = 4.83	
azimuth	0.02147165	0.003395604	az = 5.98	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Method	Conditions	33.70398104190826	193.7324709892273	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Method	Staircase	33.70414304733276	39.65339696407318	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	33.70445799827576	39.64969396591187	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	33.96663999557495	39.38614904880524	0.01334595680236816	34.01117599010468	39.37822496891022	5.367048978805542	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	33.97998905181885	39.3864209651947	0.0003829002380371094	34.01117599010468	39.37822496891022	5.367048978805542	-1	NA	NA	NA	NA	
Method	Staircase	39.65411901473999	45.56696903705597	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	39.65441000461578	45.56330299377441	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	39.90521705150604	45.301913022995	0.0132288932800293	39.94328105449677	45.2944610118866	5.351179957389832	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	39.9184490442276	45.30217897891998	0.0003889799118041992	39.94328105449677	45.2944610118866	5.351179957389832	-1	NA	NA	NA	NA	
Method	Staircase	45.56752395629883	47.41129696369171	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	45.56786203384399	47.40935301780701	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	45.81863605976105	47.14657402038574	0.0132439136505127	45.85202896595001	47.14361298084259	1.291584014892578	1.275179496765134	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	45.8318829536438	47.14684402942657	0.000352025032043457	45.85202896595001	47.14361298084259	1.291584014892578	1.275179496765134	NA	NA	NA	NA	
Method	Staircase	47.41202294826508	49.82719504833221	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	47.41237103939056	49.82517194747925	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	47.6630699634552	49.56362497806549	0.01302802562713623	47.70204901695251	49.56016004085541	1.858111023902893	1.836555487632751	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	47.67610096931458	49.56387901306152	0.0004000663757324219	47.70204901695251	49.56016004085541	1.858111023902893	1.836555487632751	NA	NA	NA	NA	
Method	Staircase	49.82783305644989	55.70680797100067	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	49.8281329870224	55.70332396030426	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	50.07891201972961	55.44196403026581	0.01318001747131348	50.11827003955841	55.43470394611359	5.316433906555176	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	50.09209501743317	55.44222700595856	0.0004169940948486328	50.11827003955841	55.43470394611359	5.316433906555176	-1	NA	NA	NA	NA	
Method	Staircase	55.70742094516754	57.85074198246002	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	55.70773005485535	57.84888803958893	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	55.95899200439453	57.58749306201935	0.01373600959777832	55.99284994602203	57.58409404754639	1.591244101524353	1.571175562858585	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	55.97273194789886	57.58775305747986	0.0003830194473266602	55.99284994602203	57.58409404754639	1.591244101524353	1.571175562858585	NA	NA	NA	NA	
Method	Staircase	57.85131502151489	61.23647105693817	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	57.85161399841309	61.23409402370453	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	58.10230398178101	60.97252094745636	0.01344799995422363	58.14243400096893	60.96760201454163	2.825168013572693	2.803672504425052	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	58.11575603485107	60.9728000164032	0.0003609657287597656	58.14243400096893	60.96760201454163	2.825168013572693	2.803672504425052	NA	NA	NA	NA	
Method	Staircase	61.23712694644928	67.13997495174408	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	61.23746001720428	67.13630294799805	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	61.48824799060822	66.87470805644989	0.01339006423950195	61.52574002742767	66.86775100231171	5.342010974884033	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	61.50164103507996	66.87496602535248	0.0003509521484375	61.52574002742767	66.86775100231171	5.342010974884033	-1	NA	NA	NA	NA	
Method	Staircase	67.14070796966553	73.06479501724243	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	67.14103198051453	73.06116902828217	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	67.39182305335999	72.79975605010986	0.01302492618560791	67.42559695243835	72.79226195812225	5.366665005683899	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	67.40485203266144	72.80000805854797	0.0003819465637207031	67.42559695243835	72.79226195812225	5.366665005683899	-1	NA	NA	NA	NA	
Method	Staircase	73.06539404392242	78.96428596973419	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	73.06574106216431	78.96059703826904	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	73.31654000282288	78.69927799701691	0.01320302486419678	73.34995698928833	78.69170200824738	5.341745018959045	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	73.32976102828979	78.69953000545502	0.0004079341888427734	73.34995698928833	78.69170200824738	5.341745018959045	-1	NA	NA	NA	NA	
Method	Staircase	78.96493101119995	81.30819499492645	NA	NA	NA	NA	NA	NA	NA	2	NA	
