PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3007 (control)
#1 (27/06/19, 10:25:36)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	NA	NA	Miss	79.72175192832947	beep-01a	
3	0.000000	Top Button	NA	Hit	NA	beep-01a	
4	0.000000	Right Button	NA	Hit	NA	beep-01a	
7	0.000000	NA	NA	Miss	NA	beep-01a	
19	0.000000	Top Button	NA	Hit	NA	beep-01a	
27	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
31	0.000000	Top Button	NA	Hit	NA	beep-01a	
38	0.000000	Right Button	NA	Hit	NA	beep-01a	
39	0.000000	Top Button	NA	Hit	NA	beep-01a	
47	0.000000	Right Button	NA	Hit	NA	beep-01a	
48	0.000000	Bottom Button	NA	Miss	NA	beep-01a	
49	0.000000	Right Button	NA	Hit	NA	beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Miss		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.03591834	0.003487827	az = 0.07	
azimuth	0.01052275	0.001736282	az = 5.98	
azimuth	0.007786441	0.001442744	az = 4.83	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Method	Conditions	79.72175192832947	245.4496380090714	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Method	Staircase	79.72188496589661	85.65405189990997	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	79.72218596935272	85.64973795413971	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	79.98829698562622	85.38619792461395	0.01338100433349609	80.0353080034256	85.37891399860382	5.343605995178223	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	80.00168097019196	85.38648200035095	0.0003739595413208008	80.0353080034256	85.37891399860382	5.343605995178223	-1	NA	NA	NA	NA	
Method	Staircase	85.65462493896484	87.48760998249054	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	85.65485298633575	87.48581898212433	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	85.90550196170807	87.22303295135498	0.01313698291778564	85.93649399280548	87.22037696838379	1.283882975578308	1.263543893814088	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	85.9186429977417	87.22332298755646	0.0003550052642822266	85.93649399280548	87.22037696838379	1.283882975578308	1.263543893814088	NA	NA	NA	NA	
Method	Staircase	87.48824596405029	91.03976190090179	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	87.48859190940857	91.03732001781464	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	87.7393079996109	90.77574098110199	0.0138700008392334	87.77401995658875	90.77058494091034	2.996564984321594	2.975493017196655	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	87.75318193435669	90.77602100372314	0.0003730058670043945	87.77401995658875	90.77058494091034	2.996564984321594	2.975493017196655	NA	NA	NA	NA	
Method	Staircase	91.04028296470642	96.95851397514343	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	91.04064190387726	96.95497393608093	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	91.29144299030304	96.69353592395782	0.01361000537872314	91.32719600200653	96.68606293201447	5.358866930007935	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	91.30505692958832	96.6938099861145	0.0003709793090820312	91.32719600200653	96.68606293201447	5.358866930007935	-1	NA	NA	NA	NA	
Method	Staircase	96.95911192893982	98.64364194869995	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	96.95942401885986	98.64198195934296	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	97.21010196208954	98.38044691085815	0.01313996315002441	97.24389898777008	98.37777292728424	1.13387393951416	1.115572006225591	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	97.22324597835541	98.38067197799683	0.0003739595413208008	97.24389898777008	98.37777292728424	1.13387393951416	1.115572006225591	NA	NA	NA	NA	
Method	Staircase	98.64429092407227	101.1277799606323	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	98.64458799362183	101.1256169080734	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	98.89545297622681	100.8642280101776	0.01332294940948486	98.93378591537476	100.8608080148697	1.927022099494934	1.902374455451962	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	98.90877890586853	100.8644779920578	0.0003540515899658203	98.93378591537476	100.8608080148697	1.927022099494934	1.902374455451962	NA	NA	NA	NA	
Method	Staircase	101.1284399032593	104.6295349597931	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	101.1287589073181	104.6269040107727	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	101.3795739412308	104.3652719259262	0.01317000389099121	101.4177680015564	104.3608499765396	2.943081974983215	2.927363965034488	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	101.3927479982376	104.3655179738998	0.000374913215637207	101.4177680015564	104.3608499765396	2.943081974983215	2.927363965034488	NA	NA	NA	NA	
Procedure	Position Discrimination	104.6304489374161	106.241289973259	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	104.8811219930649	105.9797139167786	0.01283001899719238	104.9189139604568	105.977322936058	1.058408975601196	1.031407476425173	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	104.8939559459686	105.9799699783325	0.0003470182418823242	104.9189139604568	105.977322936058	1.058408975601196	1.031407476425173	NA	NA	NA	NA	
Method	Staircase	106.2435410022736	109.1208670139313	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	106.2438899278641	109.1186199188232	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	106.4947229623795	108.8570150136948	0.01337099075317383	106.5265649557114	108.8522080183029	2.325643062591553	2.306600518226617	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	106.5080980062485	108.8572969436646	0.0003639459609985352	106.5265649557114	108.8522080183029	2.325643062591553	2.306600518226617	NA	NA	NA	NA	
Procedure	Position Discrimination	109.1219129562378	111.1588649749756	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	109.3726419210434	110.897341966629	0.01291501522064209	109.4079970121384	110.8940739631653	1.486076951026917	1.449937455177306	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	109.3855599164963	110.8975899219513	0.0003290176391601562	109.4079970121384	110.8940739631653	1.486076951026917	1.449937455177306	NA	NA	NA	NA	
Method	Staircase	111.161297917366	114.8787930011749	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	111.161621928215	114.8761010169983	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Miss	
Composed Stimuli	New Timeline plate	111.4123799800873	114.6143999099731	0.01314198970794678	111.4514869451523	114.6105020046234	3.15901505947113	3.134529976844789	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	111.4255249500275	114.6146550178528	0.0003739595413208008	111.4514869451523	114.6105020046234	3.15901505947113	3.134529976844789	NA	NA	NA	NA	
Method	Staircase	114.879361987114	117.2439889907837	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	114.8796619176865	117.2419059276581	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	115.130607008934	116.9803459644318	0.01312589645385742	115.1678519248962	116.9764049053192	1.808552980422974	1.796281995773313	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	115.1437360048294	116.9805929660797	0.0003579854965209961	115.1678519248962	116.9764049053192	1.808552980422974	1.796281995773313	NA	NA	NA	NA	
Method	Staircase	117.2445869445801	118.9095269441605	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	117.2449330091476	118.9076569080353	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Hit	
Composed Stimuli	New Timeline plate	117.4955849647522	118.6461839675903	0.01331794261932373	117.5287619829178	118.6434209346771	1.114658951759338	1.098584497451782	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	117.508906006813	118.6464309692383	0.0004009008407592773	117.5287619829178	118.6434209346771	1.114658951759338	1.098584497451782	NA	NA	NA	NA	
Method	Staircase	118.9100569486618	121.1906509399414	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	118.910434961319	121.1886489391327	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Miss	
Composed Stimuli	New Timeline plate	119.1611379384995	120.9130289554596	0.01328504085540771	119.1983299255371	120.909639954567	1.711310029029846	1.692345057487486	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	119.1744269132614	120.9271479845047	0.0003720521926879883	119.1983299255371	120.909639954567	1.711310029029846	1.692345057487486	NA	NA	NA	NA	
Procedure	Position Discrimination	121.1915929317474	122.732115983963	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Hit	
Composed Stimuli	New Timeline plate	121.442312002182	122.470535993576	0.01328194141387939	121.4757570028305	122.4677749872208	0.9920179843902588	0.9632445125579778	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	121.4555979967117	122.4707819223404	0.0003709793090820312	121.4757570028305	122.4677749872208	0.9920179843902588	0.9632445125579778	NA	NA	NA	NA	
Method	Staircase	122.734346985817	124.9340720176697	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	122.7346669435501	124.9320529699326	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	122.9853739738464	124.670529961586	0.01317703723907471	123.025416970253	124.6677329540253	1.642315983772278	1.618468418121338	NA	NA	NA	NA	
