PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3011 (control)
#1 (01/07/19, 14:14:04)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	NA	NA	Miss	31.44404101371765	beep-01a	
2	0.000000	NA	NA	Miss	NA	beep-01a	
14	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
17	0.000000	Top Button	NA	Hit	NA	beep-01a	
21	0.000000	Right Button	NA	Hit	NA	beep-01a	
33	0.000000	Top Button	NA	Hit	NA	beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.055	0	az = 0.07	
azimuth	0.01173853	0.001308363	az = 4.83	
azimuth	0.04881086	0.006733899	az = 5.98	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Method	Conditions	31.44404101371765	249.6849550008774	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Method	Staircase	31.44417500495911	37.35902798175812	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	31.44451999664307	37.35525703430176	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	31.70357799530029	37.09152400493622	0.01312100887298584	31.75185894966125	37.08458399772644	5.332725048065186	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	31.71670305728912	37.09178400039673	0.0003829002380371094	31.75185894966125	37.08458399772644	5.332725048065186	-1	NA	NA	NA	NA	
Method	Staircase	37.35963797569275	43.26573395729065	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	37.36002397537231	43.26194298267365	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	37.61078202724457	43.0005190372467	0.01336896419525146	37.64278399944305	42.99307703971863	5.350293040275574	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	37.62415397167206	43.00076806545258	0.0003550052642822266	37.64278399944305	42.99307703971863	5.350293040275574	-1	NA	NA	NA	NA	
Method	Staircase	43.26631796360016	45.90257203578949	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	43.26664805412292	45.90054202079773	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	43.51740801334381	45.63776302337646	0.01279497146606445	43.55122399330139	45.63441503047943	2.08319103717804	2.072128070831297	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	43.53020596504211	45.63801205158234	0.0003780126571655273	43.55122399330139	45.63441503047943	2.08319103717804	2.072128070831297	NA	NA	NA	NA	
Method	Staircase	45.90315496921539	47.51642596721649	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	45.90340304374695	47.51479196548462	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	46.15417897701263	47.25325000286102	0.01329207420349121	46.19278395175934	47.25070905685425	1.05792510509491	1.041262637138367	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	46.16747498512268	47.25349700450897	0.0003780126571655273	46.19278395175934	47.25070905685425	1.05792510509491	1.041262637138367	NA	NA	NA	NA	
Method	Staircase	47.51709604263306	49.64317095279694	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	47.51731705665588	49.64128696918488	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
