PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3016 (control)
#1 (02/07/19, 13:17:08)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	Bottom Button	NA	Hit	32.8034040927887	beep-01a	
2	0.000000	Left Button	NA	Hit	NA	beep-01a	
3	0.000000	Top Button	NA	Hit	NA	beep-01a	
9	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
10	0.000000	NA	NA	Miss	NA	beep-01a	
11	0.000000	NA	NA	Miss	NA	beep-01a	
17	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
18	0.000000	Left Button	NA	Miss	NA	beep-01a	
20	0.000000	Top Button	NA	Hit	NA	beep-01a	
21	0.000000	NA	NA	Miss	NA	beep-01a	
22	0.000000	Left Button	NA	Hit	NA	beep-01a	
23	0.000000	NA	NA	Miss	NA	beep-01a	
25	0.000000	NA	NA	Miss	NA	beep-01a	
26	0.000000	NA	NA	Miss	NA	beep-01a	
28	0.000000	NA	NA	Miss	NA	beep-01a	
31	0.000000	NA	NA	Miss	NA	beep-01a	
32	0.000000	Right Button	NA	Hit	NA	beep-01a	
	0.000000	Bottom Button	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.008844909	0.001313168	az = 4.83	
azimuth	0.03792825	0.008134852	az = 5.98	
azimuth	0.055	0	az = 0.07	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Method	Conditions	32.8034040927887	174.567174077034	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Procedure	Position Discrimination	32.80378103256226	34.7545690536499	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	33.0662180185318	34.49088704586029	0.01357400417327881	33.11104810237885	34.4873960018158	1.376347899436951	1.363025441169739	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	33.07979500293732	34.49118006229401	0.0003430843353271484	33.11104810237885	34.4873960018158	1.376347899436951	1.363025441169739	NA	NA	NA	NA	
Method	Staircase	34.7572740316391	36.2694000005722	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	34.75766003131866	36.26780200004578	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Hit	
Composed Stimuli	New Timeline plate	35.00824105739594	36.00636208057404	0.01301693916320801	35.04523706436157	36.00370907783508	0.9584720134735107	0.9432610149383578	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	35.02126109600067	36.00660800933838	0.0003719329833984375	35.04523706436157	36.00370907783508	0.9584720134735107	0.9432610149383578	NA	NA	NA	NA	
Method	Staircase	36.27007210254669	37.86940002441406	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	36.270339012146	37.86773204803467	NA	NA	NA	NA	NA	0.000000	Top Button	NA	Hit	
Composed Stimuli	New Timeline plate	36.52111303806305	37.60632407665253	0.01294803619384766	36.55266404151917	37.60366904735565	1.051005005836487	1.034672520637514	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	36.53406500816345	37.60658299922943	0.0003670454025268555	36.55266404151917	37.60366904735565	1.051005005836487	1.034672520637514	NA	NA	NA	NA	
Method	Staircase	37.87004005908966	40.44502699375153	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	37.8703670501709	40.44295704364777	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	38.12127101421356	40.18159401416779	0.01311707496643066	38.1616450548172	40.17775499820709	2.016109943389893	1.999336930274964	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	38.13439106941223	40.18181908130646	0.0003839731216430664	38.1616450548172	40.17775499820709	2.016109943389893	1.999336930274964	NA	NA	NA	NA	
